INSTANCE,TIME,TIME_TYPE
eligible01.lp,0.054444,USER TIME
eligible02.lp,0.073143,USER TIME
eligible03.lp,0.057437,USER TIME
eligible04.lp,0.06348,USER TIME
eligible05.lp,0.054804,USER TIME
eligible06.lp,0.075224,USER TIME
eligible07.lp,0.071599,USER TIME
eligible08.lp,0.06363,USER TIME
eligible09.lp,0.071013,USER TIME
eligible10.lp,0.077341,USER TIME
eligible11.lp,0.0758,USER TIME
eligible12.lp,0.086148,USER TIME
eligible13.lp,0.08397,USER TIME
eligible14.lp,0.089961,USER TIME
eligible15.lp,0.086142,USER TIME
eligible16.lp,0.078283,USER TIME
eligible17.lp,0.093592,USER TIME
eligible18.lp,0.100951,USER TIME
eligible19.lp,0.102917,USER TIME
eligible20.lp,0.107481,USER TIME
eligible21.lp,0.101975,USER TIME
eligible22.lp,0.106891,USER TIME
eligible23.lp,0.10043,USER TIME
eligible24.lp,0.098956,USER TIME
eligible25.lp,0.106416,USER TIME
yale01.lp,0.76644,USER TIME
yale02.lp,0.847364,USER TIME
yale03.lp,1.56151,USER TIME
yale04.lp,0.528651,USER TIME
yale05.lp,9.51307,USER TIME
yale07.lp,9.82682,USER TIME
yale08.lp,1.69251,USER TIME
